ra,dec,LS_id,z,source
185.02841186523438,29.280500411987305,NGC_4278,0.002164830977836007,2MRS
218.16990661621094,-44.17461013793945,g1432407-441028,0.004112845293793215,2MRS
296.2341613769531,-14.797579765319824,NGC_6822,-0.00019013153426294667,2MRS
187.4536590576172,13.429320335388184,NGC_4473,0.007485178296246532,2MRS
192.205322265625,-41.31108856201172,NGC_4696,0.009866825935961339,2MRS
55.5064697265625,-47.22208023071289,g0342015-471319,0.003305620183413687,2MRS
167.49053955078125,-37.53934097290039,g1109577-373221,0.010106992084504008,2MRS
139.8273162841797,69.20333862304688,NGC_2787,0.0023216061025791383,2MRS
343.7539367675781,-39.66136932373047,g2255009-393941,0.005700610386936419,2MRS
40.43846893310547,0.44317999482154846,02414531+0026335,0.0033556547976934096,2MRS
319.75103759765625,-48.56201171875,NGC_7049,0.0076219395752777745,2MRS
207.31333923339844,60.19041061401367,NGC_5322,0.005850714229775587,2MRS
153.4403076171875,3.4246699810028076,10134580+0325299,0.003946063246194139,2MRS
348.0316162109375,-28.539600372314453,g2312076-283223,0.0051669078346193754,2MRS
150.49134826660156,55.68000030517578,NGC_3079,0.003722575302411377,2MRS
199.5211181640625,-26.83721923828125,g1318051-265014,0.0067646798506185235,2MRS
187.5094451904297,13.636449813842773,NGC_4477,0.004519793489934961,2MRS
188.86012268066406,14.496319770812988,MESSIER_091,0.001621121502663019,2MRS
35.769039154052734,-21.233850479125977,g0223046-211402,0.004953426813692558,2MRS
153.5629119873047,3.4661200046539307,NGC_3169,0.004129523498553123,2MRS
140.75440979003906,-32.44976043701172,IC_2469,0.00555050654409725,2MRS
302.4753112792969,-48.37955093383789,g2009541-482246,0.009523254917907242,2MRS
267.3604736328125,70.14434051513672,NGC_6503,8.339102379953801e-05,2MRS
187.01622009277344,9.803620338439941,NGC_4442,0.001774560986454169,2MRS
204.3836212158203,8.88506031036377,NGC_5248,0.0038393227357307303,2MRS
186.94021606445312,13.008589744567871,NGC_4438,0.00023683050759068795,2MRS
178.23065185546875,36.986351013183594,NGC_3941,0.003095474803438851,2MRS
25.759790420532227,13.64568042755127,01430241+1338421,0.0028553086548961815,2MRS
95.41574096679688,-27.233739852905273,g0621398-271401,0.0050501604013000224,2MRS
186.9187469482422,13.079000473022461,NGC_4435,0.002671848402537198,2MRS
28.252180099487305,-13.738679885864258,g0153005-134419,0.005403738342210063,2MRS
180.09848022460938,-1.100000023841858,g1200236-010600,0.004769966561333575,2MRS
200.4426727294922,-27.430519104003906,g1321462-272549,0.00605418832784646,2MRS
184.846923828125,5.824709892272949,NGC_4261,0.007465164450534643,2MRS
349.5984191894531,-42.37057113647461,NGC_7582,0.005253634499370895,2MRS
29.83159065246582,19.007539749145508,NGC_0772,0.008245704433298319,2MRS
165.077392578125,13.901229858398438,NGC_3489,0.0022582289244914896,2MRS
